Chamber ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
S01-A07	40915	41354	41796	42213	42613	43013	43389	43778	44141	44460	44769	45068	45353	45651	45910	46137	46366	46567	46771	46936	47101	47254	47413	47546	47641	47777	47876	47977	48058	48161	48245	48312	48399	48446	48512	48547	48614	48658	48732	48746	48789	48835	48860	48914	48916	48934	48973	48968	48989	49007	49023	49015	49028	49047	49052	49035	49003	49049	49025	49022
S02-A07	42433	42856	43296	43726	44106	44506	44893	45273	45572	45915	46229	46522	46805	47063	47324	47551	47744	47914	48052	48232	48375	48501	48639	48770	48844	48957	49067	49146	49240	49322	49387	49453	49537	49578	49663	49702	49760	49792	49848	49869	49910	49958	50003	50017	50035	50046	50077	50102	50115	50141	50136	50138	50146	50156	50137	50155	50141	50148	50165	50125
S03-A07	43552	43991	44428	44845	45281	45648	46004	46362	46711	46994	47298	47559	47791	48029	48198	48392	48549	48746	48889	49034	49149	49280	49395	49506	49625	49699	49818	49867	49947	50007	50082	50178	50210	50245	50325	50356	50404	50419	50487	50471	50537	50570	50583	50602	50608	50655	50661	50669	50691	50686	50745	50729	50747	50762	50740	50753	50758	50745	50752	50710
S04-A07	43748	44231	44648	45063	45493	45857	46200	46534	46862	47144	47399	47652	47913	48110	48315	48514	48683	48840	48974	49132	49259	49385	49490	49606	49686	49791	49871	49937	50053	50099	50169	50236	50287	50326	50388	50455	50492	50506	50554	50573	50605	50628	50649	50668	50697	50723	50721	50723	50727	50759	50800	50820	50807	50805	50787	50791	50794	50790	50780	50756
S05-A07	44032	44480	44907	45383	45751	46131	46501	46791	47102	47378	47636	47861	48090	48271	48490	48621	48782	48935	49100	49226	49356	49485	49599	49674	49779	49881	49982	50067	50109	50191	50251	50322	50379	50424	50473	50552	50583	50601	50668	50680	50739	50762	50770	50809	50834	50841	50869	50858	50871	50893	50882	50878	50892	50884	50877	50885	50869	50932	50860	50850
S06-A07	43360	43825	44261	44687	45099	45476	45843	46188	46558	46860	47162	47409	47657	47891	48062	48296	48453	48634	48791	48922	49056	49218	49316	49398	49514	49624	49696	49797	49876	49938	50011	50079	50147	50218	50270	50280	50354	50365	50430	50454	50480	50518	50539	50553	50594	50593	50623	50628	50641	50651	50662	50671	50655	50662	50644	50664	50642	50676	50629	50638
S07-A07	44458	44882	45314	45720	46124	46495	46817	47148	47417	47680	47960	48193	48426	48620	48818	49009	49179	49311	49487	49626	49736	49847	49978	50046	50147	50250	50338	50374	50481	50536	50578	50633	50709	50737	50794	50818	50871	50905	50941	50962	50989	51012	51019	51061	51083	51099	51118	51138	51184	51212	51213	51222	51224	51218	51244	51200	51218	51208	51194	51180
S08-A07	43919	44380	44786	45201	45597	45998	46344	46687	46957	47210	47497	47756	47982	48164	48363	48527	48721	48857	49013	49136	49273	49393	49502	49600	49710	49801	49878	49951	50010	50102	50170	50238	50275	50351	50384	50425	50487	50541	50568	50587	50632	50658	50673	50699	50771	50726	50791	50809	50812	50818	50843	50844	50819	50835	50834	50816	50819	50813	50809	50800
S09-A07	44039	44516	44933	45336	45737	46124	46456	46832	47136	47426	47674	47918	48146	48339	48524	48700	48866	49035	49171	49291	49415	49535	49668	49756	49849	49949	50019	50123	50180	50262	50292	50372	50427	50495	50508	50573	50591	50651	50676	50693	50734	50748	50774	50795	50788	50822	50824	50829	50808	50906	50928	50927	50935	50941	50949	50906	50929	50905	50931	50917
S10-A07	43752	44205	44676	45068	45500	45864	46232	46573	46898	47182	47448	47694	47936	48157	48339	48520	48726	48889	49047	49177	49312	49426	49531	49645	49737	49828	49900	49969	50048	50110	50164	50223	50266	50329	50361	50413	50502	50547	50559	50591	50625	50649	50682	50694	50729	50738	50761	50783	50792	50791	50807	50807	50811	50824	50841	50853	50837	50830	50815	50829
