Chamber ID	1	2	3	4	5	6	7	8	9	10
S01-A07	39857	40057	40251	40419	40595	40732	40905	41021	41170	41293
S02-A07	40875	41087	41259	41410	41581	41738	41896	42038	42171	42306
S03-A07	40181	40368	40549	40721	40896	41048	41171	41332	41466	41586
S04-A07	39828	40026	40192	40366	40556	40680	40859	40993	41137	41260
S05-A07	39465	39648	39838	40011	40161	40318	40476	40578	40746	40871
S06-A07	38965	39159	39346	39515	39686	39850	39985	40108	40281	40403
S07-A07	40085	40294	40477	40643	40818	40968	41100	41208	41400	41509
S08-A07	39267	39468	39654	39817	39967	40100	40258	40405	40519	40644
S09-A07	39304	39499	39659	39847	40000	40134	40307	40429	40539	40661
S10-A07	38546	38744	38950	39105	39257	39397	39544	39703	39810	39933
S11-A07	37700	37896	38085	38261	38408	38571	38707	38859	38990	39122
S12-A07	27089	27479	27663	27830	27824	28157	28292	28220	28539	28630
S01-A08	40187	40423	40590	40786	40963	41103	41269	41390	41532	41660
S02-A08	41388	41598	41806	41968	42153	42295	42455	42593	42712	42884
S03-A08	40734	40951	41125	41316	41481	41650	41807	41932	42083	42194
S04-A08	40327	40514	40733	40911	41082	41242	41370	41535	41673	41824
S05-A08	39846	40058	40255	40419	40604	40741	40904	41045	41175	41298
S06-A08	39282	39506	39666	39872	40006	40175	40374	40497	40647	40758
S07-A08	40563	40783	40992	41139	41303	41469	41610	41739	41899	41997
S08-A08	39510	39727	39890	40087	40258	40412	40581	40694	40848	40972
S09-A08	39377	39577	39765	39948	40097	40287	40410	40566	40692	40833
S10-A08	38668	38877	39077	39233	39428	39575	39721	39834	39993	40111
S11-A08	37915	38092	38280	38465	38647	38811	38934	39061	39196	39334
S12-A08	22949	27441	27715	27895	28080	28114	28384	23842	28470	28689
S01-A09	41473	41672	41870	42048	42198	42370	42516	42647	42792	42953
S02-A09	42461	42662	42870	43052	43186	43362	43534	43670	43797	43964
S03-A09	41618	41852	42057	42216	42401	42540	42707	42852	42975	43113
S04-A09	41271	41438	41644	41823	41968	42146	42291	42439	42552	42698
S05-A09	40974	41199	41386	41532	41690	41840	42015	42123	42304	42406
S06-A09	40499	40713	40883	41070	41226	41391	41526	41701	41808	41946
S07-A09	41576	41797	41946	42148	42278	42418	42576	42698	42823	42968
S08-A09	40405	40608	40757	40947	41123	41288	41438	41565	41707	41837
S09-A09	40458	40635	40812	41000	41177	41299	41446	41609	41742	41874
S10-A09	39996	40195	40367	40544	40706	40885	41015	41163	41292	41418
S11-A09	39135	39325	39510	39696	39871	40030	40188	40305	40453	40580
S12-A09	27368	27568	27755	27430	28111	27726	28420	28531	28613	28162
S01-A10	40209	40356	40527	40695	40826	40995	41154	41305	41413	41526
S02-A10	41157	41313	41462	41625	41802	41926	42053	42169	42329	42450
S03-A10	40723	40900	41041	41207	41370	41523	41658	41793	41926	42037
S04-A10	40404	40580	40738	40866	41052	41193	41364	41505	41618	41717
S05-A10	39754	39914	40078	40245	40386	40550	40678	40790	40959	41069
S06-A10	39358	39516	39676	39830	39977	40121	40266	40393	40505	40628
S07-A10	40814	40948	41099	41264	41372	41509	41674	41795	41906	42017
S08-A10	39660	39814	39966	40141	40269	40380	40516	40675	40787	40915
S09-A10	39636	39808	39942	40109	40282	40379	40527	40658	40811	40903
S10-A10	38929	39080	39193	39365	39507	39648	39757	39919	40021	40153
S11-A10	38228	38384	38516	38657	38812	38948	39117	39220	39349	39473
S12-A10	26933	27093	27261	27115	27599	27730	27868	27983	28064	28150
S01-A11	39047	39224	39418	39608	39758	39873	40046	40187	40306	40449
S02-A11	40325	40521	40660	40835	40967	41151	41290	41439	41557	41672
S03-A11	39518	39708	39859	40019	40179	40346	40510	40622	40759	40883
S04-A11	39179	39316	39504	39676	39836	40008	40121	40257	40414	40531
S05-A11	38747	38956	39123	39295	39458	39585	39748	39865	40003	40120
S06-A11	38528	38734	38883	39028	39209	39356	39491	39635	39780	39889
S07-A11	39779	39977	40138	40306	40448	40569	40725	40836	40998	41102
S08-A11	38618	38787	38946	39111	39253	39423	39521	39695	39786	39919
S09-A11	38648	38814	38984	39127	39284	39416	39545	39695	39811	39918
S10-A11	37805	37947	38123	38259	38431	38564	38694	38834	38944	39031
S11-A11	37075	37262	37447	37607	37757	37892	38024	38157	38280	38409
S12-A11	25406	25568	25746	25918	26089	26204	26334	26431	26525	26610
S01-A12	38130	38312	38504	38642	38819	38944	39115	39241	39371	39466
S02-A12	39103	39286	39465	39588	39766	39896	40057	40188	40303	40452
S03-A12	38378	38548	38734	38874	39063	39206	39353	39505	39616	39737
S04-A12	38094	38285	38463	38612	38786	38922	39092	39208	39358	39483
S05-A12	38007	38186	38371	38547	38664	38816	38986	39084	39234	39334
S06-A12	37545	37720	37903	38036	38184	38363	38510	38638	38746	38888
S07-A12	38751	38932	39078	39266	39438	39563	39691	39867	39988	40105
S08-A12	37597	37798	37983	38141	38285	38442	38588	38709	38838	38972
S09-A12	37848	37986	38188	38342	38482	38615	38784	38915	39044	39137
S10-A12	36824	36978	37136	37302	37460	37596	37752	37886	38013	38115
S11-A12	35830	36010	36158	36364	36480	36617	36756	36904	37038	37144
S12-A12	24426	24608	24772	24932	25074	25215	25325	25449	25519	25609
S01-A01	37518	37682	37847	38005	38162	38324	38429	38572	38698	38849
S02-A01	38848	39001	39182	39387	39506	39658	39803	39937	40066	40213
S03-A01	38268	38450	38646	38824	38977	39132	39281	39418	39570	39702
S04-A01	37831	37984	38199	38347	38523	38695	38824	38951	39097	39244
S05-A01	37443	37632	37778	37945	38129	38269	38425	38544	38701	38830
S06-A01	36822	37004	37177	37311	37478	37630	37803	37884	38046	38173
S07-A01	37490	37656	37788	37979	38110	38243	38363	38527	38646	38766
S08-A01	37068	37269	37440	37605	37761	37895	38051	38194	38308	38444
S09-A01	37306	37499	37661	37839	37997	38133	38289	38417	38542	38649
S10-A01	36437	36632	36793	36951	37115	37247	37380	37522	37641	37751
S11-A01	35615	35790	35956	36127	36270	36420	36563	36719	36857	36952
S12-A01	27791	31780	31994	28397	24389	24535	24640	24757	24853	24928
S01-A02	37056	37212	37385	37559	37738	37882	38018	38138	38276	38404
S02-A02	38025	38209	38380	38528	38725	38839	38996	39151	39285	39427
S03-A02	37255	37411	37583	37785	37917	38089	38232	38374	38511	38623
S04-A02	36952	37131	37300	37477	37643	37808	37925	38096	38219	38359
S05-A02	36647	36832	37021	37145	37347	37498	37628	37765	37899	38042
S06-A02	36277	36468	36643	36804	36949	37103	37267	37377	37533	37654
S07-A02	37318	37485	37647	37817	37984	38108	38245	38378	38488	38609
S08-A02	36389	36566	36739	36883	37057	37165	37331	37464	37584	37717
S09-A02	36391	36587	36756	36892	37046	37199	37335	37471	37574	37704
