Chamber ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
S05-A08	43090	43423	43774	44128	44454	44745	45015	45293	45552	45814	46017	46238	46440	46612	46778	46931	47084	47210	47352	47506	47635	47723	47818	47891	48009	48061	48163	48186	48241	48312	48356	48410	48431	48482	48519	48539	48573	48604	48647	48667	48677	48698	48709	48723	48742	48742	48756	48737	48730	48730	48703	48709	48706	48689	48679	48651	48636	48623	48613	48567
S06-A08	43272	43595	43881	44194	44514	44877	45121	45419	45644	45885	46078	46320	46508	46704	46867	47037	47186	47321	47456	47576	47682	47760	47853	47963	48047	48104	48172	48247	48291	48383	48409	48455	48472	48517	48575	48590	48620	48639	48678	48675	48709	48732	48741	48744	48752	48762	48765	48771	48768	48762	48761	48763	48730	48720	48707	48675	48677	48670	48658	48637
S07-A08	42655	42996	43360	43634	43985	44276	44548	44847	45099	45354	45544	45760	45983	46138	46321	46507	46701	46795	46982	47094	47217	47351	47442	47537	47620	47699	47804	47848	47906	47948	47993	48048	48084	48150	48154	48220	48228	48274	48285	48311	48340	48348	48347	48372	48383	48380	48402	48387	48410	48398	48487	48462	48450	48437	48434	48442	48416	48383	48375	48345
S08-A08	42801	43145	43499	43869	44122	44435	44701	44976	45229	45465	45658	45881	46074	46250	46420	46584	46755	46897	47032	47161	47244	47340	47517	47629	47707	47765	47836	47889	47964	48033	48048	48135	48156	48208	48231	48262	48301	48326	48339	48390	48400	48426	48428	48437	48450	48473	48456	48445	48454	48452	48436	48437	48410	48400	48404	48362	48417	48371	48367	48334
S09-A08	42633	42955	43271	43602	43858	44199	44457	44726	44978	45233	45465	45657	45868	46080	46233	46440	46558	46714	46839	46990	47093	47193	47269	47375	47539	47639	47681	47760	47830	47894	47927	47999	48028	48058	48115	48130	48200	48187	48213	48230	48253	48275	48289	48305	48316	48338	48300	48326	48334	48313	48296	48322	48278	48282	48272	48249	48242	48213	48204	48182
S10-A08	42729	43101	43436	43753	44074	44437	44733	44994	45228	45480	45736	45927	46148	46341	46519	46670	46856	46996	47118	47244	47362	47477	47695	47801	47894	47971	48047	48123	48180	48231	48292	48338	48372	48423	48439	48506	48515	48561	48588	48615	48614	48630	48653	48674	48691	48667	48700	48669	48701	48688	48673	48687	48677	48639	48633	48595	48594	48577	48577	48545
S11-A08	42976	43335	43653	43960	44265	44670	44960	45304	45546	45742	45976	46189	46359	46568	46716	46900	47054	47212	47343	47462	47571	47663	47760	47843	47927	48011	48070	48125	48173	48212	48263	48317	48358	48383	48418	48442	48489	48521	48528	48572	48600	48607	48640	48636	48646	48636	48637	48618	48638	48627	48609	48621	48566	48571	48548	48530	48511	48525	48474	48443
S12-A08	41451	41734	43077	42320	44209	42854	43120	44486	44727	44972	45200	45412	45592	44611	44771	46152	45079	45217	45359	46676	46775	45650	45733	44174	47283	44485	46165	46228	47513	48303	47654	48399	48445	46497	46517	47828	47865	46610	48632	47941	47964	47973	47999	47988	48722	46728	48722	47990	48001	46692	48713	47992	47963	47929	47963	47921	46614	46583	48595	47839
S01-A09	41787	42159	42435	42761	43069	43332	43614	43879	44117	44379	44589	44801	44987	45174	45377	45501	45647	45820	45912	46063	46185	46304	46414	46516	46611	46690	46765	46851	46966	46989	47033	47139	47174	47224	47210	47247	47265	47302	47315	47394	47394	47435	47446	47452	47423	47484	47494	47488	47500	47503	47524	47492	47493	47473	47457	47454	47437	47440	47424	47396
S02-A09	42478	42827	43156	43451	43738	44028	44301	44557	44779	45015	45223	45448	45632	45799	45979	46142	46275	46415	46552	46641	46797	46891	46978	47069	47152	47226	47287	47362	47404	47465	47517	47569	47599	47650	47678	47715	47756	47780	47793	47821	47809	47860	47852	47860	47889	47869	47897	47874	47895	47935	47861	47857	47843	47825	47867	47780	47847	47803	47785	47751
S03-A09	42820	43154	43458	43796	44080	44343	44617	44878	45113	45392	45559	45795	45970	46161	46362	46535	46667	46812	46964	47108	47206	47310	47418	47491	47575	47687	47713	47800	47876	47928	48001	48033	48072	48106	48148	48171	48217	48232	48261	48282	48287	48296	48332	48322	48352	48347	48341	48354	48336	48351	48370	48357	48325	48305	48297	48330	48322	48254	48283	48254
S04-A09	43086	43421	43731	44069	44375	44672	44978	45220	45514	45728	45986	46143	46383	46514	46689	46842	47012	47145	47281	47424	47556	47673	47768	47849	47937	48012	48109	48180	48223	48266	48331	48379	48413	48469	48481	48509	48534	48563	48600	48617	48619	48662	48660	48677	48668	48682	48680	48697	48693	48686	48680	48688	48637	48658	48620	48592	48608	48581	48567	48539
S05-A09	43020	43379	43752	44075	44390	44673	44933	45199	45429	45664	45884	46076	46274	46459	46635	46781	46947	47094	47202	47352	47446	47553	47630	47710	47837	47921	47980	48041	48105	48152	48190	48229	48282	48308	48355	48381	48438	48449	48447	48485	48504	48542	48521	48557	48546	48554	48575	48563	48548	48541	48523	48542	48486	48495	48492	48518	48449	48481	48444	48427
S06-A09	43353	43769	44084	44452	44719	45010	45240	45541	45753	46021	46228	46427	46622	46802	46978	47158	47310	47445	47559	47693	47791	47900	47981	48086	48165	48260	48335	48377	48421	48495	48545	48597	48636	48670	48704	48728	48759	48782	48821	48843	48838	48887	48869	48891	48873	48910	48905	48916	48903	48887	48878	48888	48839	48855	48852	48812	48819	48828	48826	48810
