sample_well	sample_substrate	sample_substrate_conc	sample_substrate_unit
S01	resorufin	100	µM
S02	resorufin	50	µM
S03	resorufin	25	µM
S04	resorufin	12.5	µM
S05	resorufin	6.25	µM
S06	resorufin	3.125	µM
S07	resorufin	1.5625	µM
S08	resorufin	0.78125	µM
S09	resorufin	0.390625	µM
S10	resorufin	0.1953125	µM
S11	resorufin	0.09765625	µM
S12	resorufin	0	µM
