Chamber ID	1	2	3	4	5	6	7	8	9	10
S05-A02	36559	36765	36967	37140	37323	37476	37645	37790	37948	38064
S06-A02	35373	35575	35793	35959	36143	36310	36487	36630	36781	36907
S07-A02	35855	36054	36234	36421	36590	36749	36921	37054	37193	37324
S08-A02	34893	35081	35286	35456	35626	35752	35940	36102	36238	36367
S09-A02	33768	28682	32465	24910	32895	33083	33252	25499	33574	35280
S10-A02	32367	25245	25436	25063	25230	21396	25496	21586	26326	26416
S11-A02	28717	29604	29728	26147	26327	26504	26639	26771	26893	26998
S12-A02	32193	30914	27540	32751	31584	31706	30247	19854	32247	32365
S01-A03	37818	38019	38214	38383	38569	38748	38904	39039	39178	39340
S02-A03	37612	37792	37990	38172	38355	38524	38674	38852	38969	39125
S03-A03	37407	37623	37832	38022	38173	38351	38533	38667	38811	38987
S04-A03	37614	37835	38023	38202	38391	38546	38675	38844	38987	39125
S05-A03	36542	36755	36933	37146	37308	37455	37628	37781	37912	38067
S06-A03	35382	35585	35777	35965	36168	36320	36494	36621	36815	36947
S07-A03	35815	36001	36204	36360	36570	36712	36853	37023	37169	37322
S08-A03	35229	35437	35623	35823	35995	36177	36315	36458	36608	36723
S09-A03	33979	32430	29023	34568	33031	33199	33395	29905	35341	35491
S10-A03	33486	29564	25772	33147	30182	34412	30530	30669	30842	26769
S11-A03	29796	26255	30263	26663	30652	30855	31007	27303	31324	31460
S12-A03	29930	31040	33329	33497	33320	28686	24734	16915	24946	32780
S01-A04	37627	37823	37996	38170	38335	38512	38634	38784	38926	39069
S02-A04	37418	37632	37793	37980	38155	38325	38465	38643	38786	38916
S03-A04	36715	36912	37095	37276	37457	37605	37758	37922	38050	38215
S04-A04	37074	37287	37454	37632	37821	37983	38142	38318	38460	38604
S05-A04	36159	36355	36536	36749	36933	37094	37253	37408	37565	37692
S06-A04	35391	35593	35784	35992	36176	36328	36493	36677	36809	36953
S07-A04	35744	35919	36123	36309	36472	36645	36780	36935	37103	37248
S08-A04	34714	34893	35098	35282	35454	35636	35777	35940	36072	36192
S09-A04	33662	33891	34066	34240	34417	34596	34730	34889	35022	35176
S10-A04	33353	29836	33742	33912	34083	30668	34392	33910	34685	34812
S11-A04	32710	30157	32947	26788	33326	27154	33650	27442	33986	27683
S12-A04	27812	20570	24043	24216	24397	24515	24664	19245	24878	24957
S01-A05	37709	37942	38126	38315	38471	38647	38833	38967	39123	39256
S02-A05	37251	37475	37674	37843	38067	38226	38378	38523	38681	38853
S03-A05	36946	37172	37371	37563	37754	37936	38122	38284	38443	38588
S04-A05	36729	36956	37163	37351	37530	37699	37894	38016	38171	38318
S05-A05	36097	36304	36531	36704	36922	37084	37269	37411	37567	37729
S06-A05	35097	35284	35502	35700	35899	36067	36246	36397	36560	36698
S07-A05	35694	35903	36093	36290	36450	36623	36790	36944	37083	37234
S08-A05	34751	34966	35146	35348	35510	35693	35835	35983	36133	36268
S09-A05	33719	33961	34151	34352	34514	34691	34848	35010	35177	35282
S10-A05	33219	33443	33629	33801	33980	34151	34327	34453	34634	34775
S11-A05	30282	28165	26057	25275	23182	32419	30115	28039	26804	24717
S12-A05	24931	23905	25175	23085	21117	20217	20308	25952	27102	24827
S01-A06	37270	37474	37699	37885	38088	38257	38444	38614	38766	38900
S02-A06	37128	37368	37575	37758	37931	38150	38330	38497	38661	38808
S03-A06	36808	37052	37258	37453	37636	37827	37976	38143	38307	38489
S04-A06	36922	37149	37351	37568	37750	37920	38099	38278	38412	38553
S05-A06	35950	36163	36360	36564	36777	36959	37115	37279	37452	37595
S06-A06	34846	35065	35264	35473	35674	35838	36015	36178	36335	36472
S07-A06	35709	35921	36129	36316	36503	36679	36840	37003	37142	37323
S08-A06	34455	34701	34875	35068	35264	35450	35619	35785	35942	36070
S09-A06	33373	33587	33774	33980	34178	34318	34520	34650	34820	34956
S10-A06	32839	33052	33247	33433	33631	33824	33960	34153	34289	34438
S11-A06	28236	30855	31009	31215	30217	32520	31643	30641	31981	33125
S12-A06	11247	17610	22272	21384	23513	23653	21656	21770	22884	22973
